Яблоко{яблоко=S,сред,неод=вин,ед|яблоко=S,сред,неод=им,ед} от{от=PR=} яблони{яблоня=S,жен,неод=вин,мн|яблоня=S,жен,неод=род,ед|яблоня=S,жен,неод=им,мн}	недалеко{недалеко=ADV=|недалекий=A=ед,кр,сред} падает{падать=V,несов,нп=непрош,ед,изъяв,3-л}
Пришла{приходить=V,нп=прош,ед,изъяв,жен,сов|прийти=V,сов,нп=прош,ед,изъяв,жен|пришлый=A=ед,кр,жен} беда{беда=S,жен,неод=им,ед|беда=ADV,прдк=} —	отворяй{отворять=V,пе=ед,пов,2-л,несов} ворота{ворота=S,мн,неод=вин|ворота=S,мн,неод=им|ворот=S,муж,неод=род,ед}
Что{что=CONJ=|что=SPRO,ед,сред,неод=вин|что=SPRO,ед,сред,неод=им|что=ADVPRO=} в{в=PR=|в=S,сокр=пр,мн|в=S,сокр=пр,ед|в=S,сокр=вин,мн|в=S,сокр=вин,ед|в=S,сокр=дат,мн|в=S,сокр=дат,ед|в=S,сокр=род,мн|в=S,сокр=род,ед|в=S,сокр=твор,мн|в=S,сокр=твор,ед|в=S,сокр=им,мн|в=S,сокр=им,ед} лоб{лоб=S,муж,неод=вин,ед|лоб=S,муж,неод=им,ед}, что{что=CONJ=|что=SPRO,ед,сред,неод=вин|что=SPRO,ед,сред,неод=им|что=ADVPRO=}	по{по=PR=} лбу{лоб=S,муж,неод=дат,ед|лоб=S,муж,неод=местн,ед}
Как{как=CONJ=|как=ADVPRO=|как=PART=} корова{корова=S,жен,од=им,ед}	языком{язык=S,муж,неод=твор,ед|язык=S,муж,од=твор,ед} слизнула{слизывать=V=прош,ед,изъяв,жен,сов|слизнуть=V,несов,нп=прош,ед,изъяв,жен}
Чем{чем=CONJ=|что=SPRO,ед,сред,неод=пр|что=SPRO,ед,сред,неод=твор} богаты{богатый=A=мн,кр},	тем{то=SPRO,ед,сред,неод=твор|тот=APRO=дат,мн|тот=APRO=твор,ед,муж|тот=APRO=твор,ед,сред|тем=CONJ=|тема=S,жен,неод=род,мн|тема=S,имя,муж,од=вин,мн|тема=S,имя,муж,од=род,мн} и{и=CONJ=|и=INTJ=|и=S,сокр=пр,мн|и=S,сокр=пр,ед|и=S,сокр=вин,мн|и=S,сокр=вин,ед|и=S,сокр=дат,мн|и=S,сокр=дат,ед|и=S,сокр=род,мн|и=S,сокр=род,ед|и=S,сокр=твор,мн|и=S,сокр=твор,ед|и=S,сокр=им,мн|и=S,сокр=им,ед|и=PART=} рады{рад=A,кр=мн|рада=S,жен,неод=вин,мн|рада=S,жен,неод=род,ед|рада=S,жен,неод=им,мн|рада=S,имя,жен,од=род,ед|рада=S,имя,жен,од=им,мн}
Не{не=PART=} рой{рой=S,муж,неод=вин,ед|рой=S,муж,неод=им,ед|рой=S,имя,муж,од=им,ед|рыть=V,несов,пе=ед,пов,2-л} яму{яма=S,жен,неод=вин,ед|ям=S,муж,неод=дат,ед} другому{другой=APRO=дат,ед,муж|другой=APRO=дат,ед,сред|другой=S,муж,од=дат,ед} —	сам{сам=APRO=вин,ед,муж,неод|сам=APRO=им,ед,муж} в{в=PR=|в=S,сокр=пр,мн|в=S,сокр=пр,ед|в=S,сокр=вин,мн|в=S,сокр=вин,ед|в=S,сокр=дат,мн|в=S,сокр=дат,ед|в=S,сокр=род,мн|в=S,сокр=род,ед|в=S,сокр=твор,мн|в=S,сокр=твор,ед|в=S,сокр=им,мн|в=S,сокр=им,ед} нее{она=SPRO,ед,3-л,жен=вин|она=SPRO,ед,3-л,жен=род|нея=S,гео,жен,неод=пр,ед|нея=S,гео,жен,неод=дат,ед} попадешь{попадать=V,нп=непрош,ед,изъяв,2-л,сов|попадать=V=непрош,ед,изъяв,2-л,сов}
Волос{волос=S,муж,неод=вин,ед|волос=S,муж,неод=род,мн|волос=S,муж,неод=им,ед|волосы=S,мн,неод=род} долог{долгий=A=ед,кр,муж},	да{да=CONJ=|да=PART=|да=ADV,прдк=} ум{ум=S,муж,неод=вин,ед|ум=S,муж,неод=им,ед} короток{короткий=A=ед,кр,муж}
Умный{умный=A=вин,ед,полн,муж,неод|умный=A=им,ед,полн,муж} бы{бы=PART=} ты{ты=SPRO,ед,2-л=им} был{быть=V,нп=прош,ед,изъяв,муж,несов} человек{человек=S,муж,од=вин,мн|человек=S,муж,од=род,мн|человек=S,муж,од=им,ед} —	кабы{кабы=CONJ=|кабы=PART=|каба=S,имя,муж,од=род,ед|каба=S,имя,муж,од=им,мн} не{не=PART=} дурак{дурак=S,муж,од=им,ед}
Кому{кто=SPRO,ед,муж,од=дат|ком=S,муж,неод=дат,ед|кома=S,жен,неод=вин,ед} война{война=S,жен,неод=им,ед}, а{а=CONJ=|а=PART=|а=INTJ=|а=S,сокр=пр,мн|а=S,сокр=пр,ед|а=S,сокр=вин,мн|а=S,сокр=вин,ед|а=S,сокр=дат,мн|а=S,сокр=дат,ед|а=S,сокр=род,мн|а=S,сокр=род,ед|а=S,сокр=твор,мн|а=S,сокр=твор,ед|а=S,сокр=им,мн|а=S,сокр=им,ед}	кому{кто=SPRO,ед,муж,од=дат|ком=S,муж,неод=дат,ед|кома=S,жен,неод=вин,ед} мать{мать=S,жен,од=вин,ед|мать=S,жен,од=им,ед} родна{родна?=S,имя,жен,од=им,ед|родный?=A=ед,кр,жен|родный?=A=ед,кр,жен}
Без{без=PR=} царя{царь=S,муж,од=вин,ед|царь=S,муж,од=род,ед|царить=V,несов,нп=непрош,деепр}	в{в=PR=|в=S,сокр=пр,мн|в=S,сокр=пр,ед|в=S,сокр=вин,мн|в=S,сокр=вин,ед|в=S,сокр=дат,мн|в=S,сокр=дат,ед|в=S,сокр=род,мн|в=S,сокр=род,ед|в=S,сокр=твор,мн|в=S,сокр=твор,ед|в=S,сокр=им,мн|в=S,сокр=им,ед} голове{голова=S,жен,неод=пр,ед|голова=S,жен,неод=дат,ед|голов=S,фам,муж,од=пр,ед|голова=S,мж,од=пр,ед|голова=S,мж,од=дат,ед}
